,decision_tree-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9189852700490999,1.0,0.9225733350119603,0.9467770363842376,0.9734042553191489
Test,0.8459821428571428,0.8950892857142857,0.90625,0.90625,0.9196428571428572,0.921875
