,decision_tree-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9201520912547528,1.0,0.9429657794676806,0.9467680608365019,0.9809885931558935
Test,0.8636363636363636,0.9090909090909091,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.9431818181818182
