,scm-ionosphere_data,decision_tree-ionosphere_data,random_forest-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,samba-ionosphere_data
Train,0.9148621427672163,0.9970414201183432,0.9946808510638299,1.0,0.9532922069746947,0.9202127659574468
Test,0.859375,0.8638392857142857,0.8772321428571428,0.8794642857142857,0.8839285714285714,0.9129464285714286
