,scm-ionosphere_data,decision_tree-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data
Train,0.9239543726235742,0.9961977186311787,0.9961977186311787,0.9581749049429658,1.0,0.9429657794676806
Test,0.8636363636363636,0.8863636363636365,0.8863636363636365,0.8863636363636365,0.8977272727272727,0.9318181818181818
