,random_scm-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,scm-hepatitis_data,random_forest-hepatitis_data,decision_tree-hepatitis_data
Train,0.8269230769230769,0.7686298076923077,0.7163461538461539,0.8191105769230769,0.7860576923076923,0.8822115384615384
Test,0.49603174603174605,0.5277777777777778,0.5277777777777778,0.5476190476190476,0.6031746031746031,0.6388888888888888
