,random_scm-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,scm-hepatitis_data,random_forest-hepatitis_data,decision_tree-hepatitis_data
Train,0.8189655172413793,0.7844827586206896,0.7327586206896551,0.8103448275862069,0.8017241379310345,0.8879310344827587
Test,0.48717948717948717,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6410256410256411
