,random_scm-australian,scm-australian,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian
Train,0.8665377176015474,0.8626692456479691,0.8897485493230174,1.0,0.8762088974854932,0.9709864603481625
Test,0.8497109826589595,0.8497109826589595,0.8670520231213873,0.8786127167630058,0.8901734104046243,0.8901734104046243
