,random_scm-australian,scm-australian,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian
Train,0.8737464020602939,0.86983032873807,0.8907665505226481,1.0,0.8794349341008938,0.9691183154067566
Test,0.862012987012987,0.862012987012987,0.8712121212121212,0.8764880952380952,0.8933306277056277,0.8933306277056277
