,random_scm-bupa_data,decision_tree-bupa_data,scm-bupa_data,adaboost-bupa_data,random_forest-bupa_data,samba-bupa_data
Train,0.6248148148148148,1.0,0.6768518518518518,1.0,0.9874074074074074,0.8662962962962963
Test,0.582972972972973,0.5932432432432433,0.5986486486486486,0.6937837837837837,0.6937837837837837,0.7343243243243243
