,random_scm-bupa_data,decision_tree-bupa_data,scm-bupa_data,adaboost-bupa_data,random_forest-bupa_data,samba-bupa_data
Train,0.5697674418604651,1.0,0.7131782945736435,1.0,0.9883720930232558,0.8837209302325582
Test,0.5287356321839081,0.6091954022988506,0.6436781609195402,0.7126436781609196,0.7126436781609196,0.7471264367816092
