,fit,hps,pred
decision_tree-zoo_data,1.4756209031134596e-05,0.06061251342650897,3.997285978950075e-06
adaboost-zoo_data,2.5303775355063196e-05,0.07460012578139769,1.1541193487967312e-05
samba-zoo_data,0.0006485858537792394,0.045007349849267686,0.00032733345081847534
random_forest-zoo_data,0.1842786704403722,1.7138834557737792,0.013078881468265864
random_scm-zoo_data,0.16162633133337198,1.4111997508659084,0.010392005420826241
scm-zoo_data,3.44850468465499e-05,0.08115085867401632,7.183244969774842e-06
