,decision_tree-bupa_data,scm-bupa_data,random_scm-bupa_data,random_forest-bupa_data,samba-bupa_data,adaboost-bupa_data
Train,0.6622222222222223,0.6622222222222223,0.6524074074074074,0.9874074074074074,0.8011111111111111,0.8362962962962963
Test,0.4956756756756757,0.4956756756756757,0.5172972972972973,0.6702702702702703,0.6837837837837838,0.7043243243243243
