,random_scm-bupa_data,decision_tree-bupa_data,scm-bupa_data,random_forest-bupa_data,samba-bupa_data,adaboost-bupa_data
Train,0.6395348837209303,0.6705426356589147,0.6705426356589147,0.9883720930232558,0.8139534883720931,0.8488372093023255
Test,0.5057471264367817,0.5172413793103449,0.5172413793103449,0.6896551724137931,0.7011494252873564,0.7126436781609196
