,scm-ionosphere_data,adaboost-ionosphere_data,decision_tree-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9163498098859315,0.9581749049429658,1.0,0.935361216730038,0.9391634980988594,0.9809885931558935
Test,0.8863636363636365,0.8977272727272727,0.9090909090909091,0.9204545454545455,0.9318181818181818,0.9659090909090909
