,adaboost-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data,decision_tree-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9414893617021276,0.9113055520584161,0.9119350371396198,1.0,0.9337781694573839,0.9734042553191489
Test,0.8660714285714286,0.8772321428571428,0.890625,0.8950892857142857,0.9196428571428572,0.953125
