,hps,fit,pred
decision_tree-methyl,9.963912150000397,0.04130904500198085,0.0011846599954878911
adaboost-methyl,321.1633907180003,13.517303067004832,0.04646984599821735
samba-methyl,292.9902791689965,12.960717049994855,0.16299511599936523
random_forest-methyl,42.67018198799633,3.9201944390006247,0.032948236002994236
random_scm-methyl,165.06610401299986,3.1251503599996795,0.04857952600286808
scm-methyl,4.606129628002236,0.19092526399617782,0.00047857499885139987
decision_tree-rna_iso,11.27954871700058,0.8323928489990067,0.0012434459931682795
adaboost-rna_iso,219.31203810599982,46.34332322800037,0.1555915460048709
samba-rna_iso,354.3766659480025,23.06439305999811,0.20641750600043451
random_forest-rna_iso,43.61933477699495,1.0460140849972959,0.01014120699983323
random_scm-rna_iso,151.4299461920018,7.553636967000784,0.103775327996118
scm-rna_iso,5.068383924997761,0.2672319740013336,0.00047673100198153406
decision_tree-rna,12.46887286400306,1.1784983379984624,0.001217057004396338
adaboost-rna,240.1248666149986,39.01187323599879,0.12964198700501584
samba-rna,302.1938080129985,2.074417841999093,0.07428170299681369
random_forest-rna,43.98755288800021,1.5171517680064426,0.014429194998228922
random_scm-rna,187.3521330509975,0.9674712650012225,0.049979898998572025
scm-rna,4.874405466995086,0.1974951140000485,0.00048354900354752317
decision_tree-mirna,1.8286336419987492,0.18887181700119982,0.00030716999754076824
adaboost-mirna,63.21295131000079,1.8452413470004103,0.01602950599772157
samba-mirna,83.68938390800031,6.48404019499867,0.08699260299908929
random_forest-mirna,27.857448491995456,1.5754925049986923,0.028684418997727334
random_scm-mirna,13.895334098000603,0.41325549100292847,0.01807974600524176
scm-mirna,1.115437791995646,0.029618691994983237,0.0001828479944379069
decision_tree-clinic,0.3674706919991877,0.002808837001794018,0.000188434001756832
adaboost-clinic,4.8135171410031035,0.29621444800432073,0.03218881400243845
samba-clinic,78.68084010000166,13.202747240000463,0.10436687900073593
random_forest-clinic,9.059452930996486,0.01255407899589045,0.001407415998983197
random_scm-clinic,7.5477876080040005,0.40217024499725085,0.02870379699743353
scm-clinic,0.4542470219967072,0.0029600060006487183,0.0001497189950896427
