,adaboost-australian,decision_tree-australian,random_scm-australian,random_forest-australian,scm-australian,samba-australian
Train,1.0,1.0,0.8781431334622823,0.97678916827853,0.8510638297872339,0.8684719535783365
Test,0.8208092485549133,0.8265895953757225,0.8439306358381503,0.8554913294797687,0.8670520231213873,0.884393063583815
