,adaboost-australian,decision_tree-australian,random_scm-australian,random_forest-australian,scm-australian,samba-australian
Train,1.0,1.0,0.879450083320709,0.9752083017724587,0.858513861536131,0.8698757763975156
Test,0.8179788961038961,0.8231872294372294,0.8400974025974026,0.847943722943723,0.8724972943722944,0.8816964285714286
