,Model Name,Noise level,Accuracy,STD,Set,b
69,NeighborHoodClassifier,0.15,0.7944000000000001,0.017499714283381873,Test,0.5
70,AdaBoostClassifier,0.15,0.7412,0.02010373099700652,Train,0.5
71,AdaBoostClassifier,0.15,0.8024000000000001,0.026785070468453114,Test,0.5
72,NeighborHoodClassifier,0.15,0.8676,0.14921340422361523,Train,1.0
73,NeighborHoodClassifier,0.15,0.7655999999999998,0.019571407716360126,Test,1.0
74,AdaBoostClassifier,0.15,0.7435999999999999,0.009329523031752489,Train,1.0
75,AdaBoostClassifier,0.15,0.8096,0.01155162326255488,Test,1.0
76,NeighborHoodClassifier,0.15,0.8728,0.1558080870815119,Train,1.5
77,NeighborHoodClassifier,0.15,0.7736,0.01134195750300627,Test,1.5
78,AdaBoostClassifier,0.15,0.7348000000000001,0.015157836257197146,Train,1.5
79,AdaBoostClassifier,0.15,0.8119999999999999,0.02074608396782388,Test,1.5
80,NeighborHoodClassifier,0.15,0.9436,0.11280000000000001,Train,2.0
81,NeighborHoodClassifier,0.15,0.7415999999999998,0.03096837096135348,Test,2.0
82,AdaBoostClassifier,0.15,0.7504,0.014718695594379293,Train,2.0
83,AdaBoostClassifier,0.15,0.7832000000000001,0.018486752013266165,Test,2.0
84,NeighborHoodClassifier,0.15,0.818,0.14890533905807407,Train,2.5
85,NeighborHoodClassifier,0.15,0.7487999999999999,0.013181805642627277,Test,2.5
86,AdaBoostClassifier,0.15,0.7508000000000001,0.014945233353815536,Train,2.5
87,AdaBoostClassifier,0.15,0.8019999999999999,0.013206059215375312,Test,2.5
88,NeighborHoodClassifier,0.15,0.7688,0.11616953128940481,Train,3.0
89,NeighborHoodClassifier,0.15,0.7356,0.01148216007552587,Test,3.0
90,AdaBoostClassifier,0.15,0.7488000000000001,0.013181805642627276,Train,3.0
91,AdaBoostClassifier,0.15,0.7896000000000001,0.011412274094149695,Test,3.0
92,NeighborHoodClassifier,0.15,0.9396000000000001,0.12080000000000002,Train,4.0
93,NeighborHoodClassifier,0.15,0.7612,0.028045677028732993,Test,4.0
94,AdaBoostClassifier,0.15,0.7416,0.01120000000000001,Train,4.0
95,AdaBoostClassifier,0.15,0.7996000000000001,0.025904439773907464,Test,4.0
96,NeighborHoodClassifier,0.2,0.6883999999999999,0.017590906741836786,Train,0.25
97,NeighborHoodClassifier,0.2,0.7916000000000001,0.0400679422980517,Test,0.25
98,AdaBoostClassifier,0.2,0.6971999999999999,0.008997777503361603,Train,0.25
99,AdaBoostClassifier,0.2,0.8096,0.03153157148002616,Test,0.25
100,NeighborHoodClassifier,0.2,0.746,0.05503453461236864,Train,0.5
101,NeighborHoodClassifier,0.2,0.7819999999999999,0.02198181066245452,Test,0.5
102,AdaBoostClassifier,0.2,0.704,0.012263767773404684,Train,0.5
103,AdaBoostClassifier,0.2,0.7847999999999999,0.02141401410291866,Test,0.5
104,NeighborHoodClassifier,0.2,0.866,0.15039148912089406,Train,1.0
105,NeighborHoodClassifier,0.2,0.7664,0.023096320053203303,Test,1.0
106,AdaBoostClassifier,0.2,0.7036,0.021369136622708916,Train,1.0
107,AdaBoostClassifier,0.2,0.7836000000000001,0.024703036250631204,Test,1.0
108,NeighborHoodClassifier,0.2,0.7660000000000001,0.15311172391427116,Train,1.5
109,NeighborHoodClassifier,0.2,0.714,0.039698866482558395,Test,1.5
110,AdaBoostClassifier,0.2,0.6976000000000001,0.012092973166264757,Train,1.5
111,AdaBoostClassifier,0.2,0.7884000000000001,0.03275118318473396,Test,1.5
112,NeighborHoodClassifier,0.2,0.9336,0.13279999999999997,Train,2.0
113,NeighborHoodClassifier,0.2,0.7460000000000001,0.03935479640399629,Test,2.0
114,AdaBoostClassifier,0.2,0.7103999999999999,0.01626775952613022,Train,2.0
115,AdaBoostClassifier,0.2,0.7744,0.03603109767964335,Test,2.0
116,NeighborHoodClassifier,0.2,0.6732,0.01016661202171104,Train,2.5
