,random_forest-zoo_data,decision_tree-zoo_data,adaboost-zoo_data,samba-zoo_data,random_scm-zoo_data,scm-zoo_data
Train,1.0,1.0,1.0,1.0,1.0,1.0
Test,0.9615384615384616,1.0,1.0,1.0,1.0,1.0
