,decision_tree-pima,samba-pima,random_scm-pima,scm-pima,random_forest-pima,adaboost-pima
Train,0.7414328358208955,1.0,0.762865671641791,0.7187462686567164,0.8713432835820896,0.9193233830845771
Test,0.6681194029850747,0.6857313432835821,0.6888358208955223,0.7107462686567164,0.7121194029850746,0.7363582089552239
