,random_scm-pima,decision_tree-pima,scm-pima,samba-pima,adaboost-pima,random_forest-pima
Train,0.7152777777777778,0.7760416666666666,0.7239583333333334,1.0,0.9340277777777778,0.8940972222222222
Test,0.6354166666666666,0.703125,0.7135416666666666,0.7395833333333334,0.7604166666666666,0.7604166666666666
