,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9125475285171103,0.9125475285171103,1.0,0.9467680608365019,0.9923954372623575
Test,0.8636363636363636,0.9090909090909091,0.9090909090909091,0.9318181818181818,0.9431818181818182,0.9545454545454546
