,samba-ionosphere_data,decision_tree-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,1.0,1.0,0.9053883922951026,0.9946808510638299,0.9467770363842376
Test,0.8102678571428572,0.8125,0.8504464285714286,0.8861607142857143,0.9040178571428572,0.9040178571428572
