,decision_tree-hepatitis_data,samba-hepatitis_data,scm-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data,adaboost-hepatitis_data
Train,0.9230769230769231,0.7704326923076923,0.7920673076923077,0.8094951923076923,0.9519230769230769,0.7259615384615384
Test,0.46825396825396826,0.626984126984127,0.6309523809523809,0.6547619047619048,0.6666666666666666,0.6825396825396826
