,decision_tree-hepatitis_data,scm-hepatitis_data,samba-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data,adaboost-hepatitis_data
Train,0.9310344827586207,0.7844827586206896,0.7844827586206896,0.8017241379310345,0.9568965517241379,0.7413793103448276
Test,0.48717948717948717,0.6153846153846154,0.6410256410256411,0.6410256410256411,0.6666666666666666,0.6923076923076923
