,scm-Abalone_data,random_scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7589399744572158,0.7544699872286079,0.7790549169859514,0.789272030651341,0.8020434227330779,0.8690932311621967
Test,0.7598086124401914,0.7665071770334928,0.7779904306220096,0.785645933014354,0.7942583732057417,0.8114832535885167
