,scm-Abalone_data,random_scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7587076727343902,0.7543819729888432,0.7793575063613232,0.7893594636915248,0.8020576433744373,0.8691696026619691
Test,0.7596115807826991,0.7664118474454586,0.7781424447993436,0.785671638510791,0.7942649191953232,0.811484447114328
