,scm-australian,random_scm-australian,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian
Train,0.8646034816247582,0.8626692456479691,0.8529980657640233,0.874274661508704,0.8820116054158608,0.9825918762088974
Test,0.8554913294797687,0.8670520231213873,0.8728323699421965,0.8786127167630058,0.8786127167630058,0.884393063583815
