,scm-australian,random_scm-australian,decision_tree-australian,adaboost-australian,samba-australian,random_forest-australian
Train,0.8646644447810938,0.86983032873807,0.8611195273443417,0.8751022572337525,0.8829344038782003,0.9812982881381609
Test,0.856939935064935,0.8724972943722944,0.8815611471861472,0.8841991341991342,0.8841991341991342,0.8842667748917749
