,decision_tree-Abalone_data,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.8575989782886334,0.7579821200510856,0.757662835249042,0.7924648786717751,0.8416347381864623,0.8531289910600255
Test,0.7550239234449759,0.7559808612440191,0.7569377990430622,0.7827751196172249,0.7913875598086123,0.7923444976076555
