,decision_tree-Abalone_data,random_scm-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.8575989782886334,0.7579821200510856,0.7576628352490421,0.7924648786717752,0.8416347381864623,0.8531289910600255
Test,0.755023923444976,0.7559808612440191,0.7569377990430622,0.7827751196172249,0.7913875598086124,0.7923444976076555
