,decision_tree-bupa_data,scm-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data,adaboost-bupa_data
Train,1.0,0.6416666666666666,0.667037037037037,0.7603703703703704,0.9735185185185184,0.7946296296296296
Test,0.5402702702702703,0.5562162162162163,0.6291891891891892,0.6532432432432432,0.6672972972972973,0.6737837837837838
