,decision_tree-bupa_data,scm-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data,adaboost-bupa_data
Train,1.0,0.6511627906976745,0.7093023255813953,0.7906976744186046,0.9767441860465116,0.8139534883720931
Test,0.5402298850574713,0.5747126436781609,0.6666666666666666,0.6781609195402298,0.6781609195402298,0.6896551724137931
