,scm-cylinder_data,samba-cylinder_data,random_scm-cylinder_data,decision_tree-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.7624691358024692,0.8335802469135803,0.7787654320987655,1.0,0.9888888888888887,1.0
Train STD,0.03959557784770585,0.0926251794509072,0.025995204322472806,0.0,0.0052086476814145214,0.0
Test,0.6851851851851851,0.7044444444444445,0.7081481481481482,0.7118518518518517,0.7822222222222222,0.7940740740740742
Test STD,0.050266778006884574,0.03841153233322718,0.03146186752828933,0.0379805740542052,0.03524556223220832,0.029961108764676572
