,scm-cylinder_data,samba-cylinder_data,random_scm-cylinder_data,decision_tree-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.7491790373369321,0.8109536662168241,0.7566689158794422,1.0,0.9868421052631579,1.0
Train STD,0.02559882063310403,0.10592403634576542,0.024955117105832727,0.0,0.006168135412201504,0.0
Test,0.6699392712550607,0.6717273954116059,0.684379217273954,0.7060053981106613,0.7558029689608636,0.7797570850202429
Test STD,0.03820976439272746,0.042522169104453444,0.02941314431835903,0.03614939782894319,0.03978097630008326,0.03207641602773839
