,samba-hepatitis_data,scm-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data
Train,0.7147235576923076,0.7612980769230769,0.8915264423076925,0.8373798076923077,0.7736778846153846,0.8373197115384615
Train STD,0.1465183300143254,0.03876905310360696,0.0924036749640714,0.09920278738131995,0.02963563087912163,0.08197699142449791
Test,0.5817460317460317,0.5928571428571429,0.5996031746031745,0.6023809523809522,0.6198412698412697,0.6396825396825395
Test STD,0.0892671938463584,0.07616980539702199,0.08035983730540441,0.06261296166132066,0.094354365472397,0.05385141413869005
