,samba-hepatitis_data,scm-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data
Train,0.7249999999999999,0.7620689655172413,0.8974137931034484,0.8448275862068966,0.7741379310344827,0.8491379310344828
Train STD,0.15375067065774092,0.029157818147047834,0.08727357317943017,0.09419854054929475,0.026090941293830314,0.07586696692652342
Test,0.5897435897435896,0.5923076923076923,0.6076923076923076,0.6102564102564101,0.6179487179487179,0.6487179487179487
Test STD,0.0945594303312091,0.07558668191273674,0.08193100158292545,0.06363935203072234,0.09347551863363177,0.055053616804061276
