,decision_tree-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,scm-hepatitis_data,random_forest-hepatitis_data,random_scm-hepatitis_data
Train,1.0,0.896551724137931,0.853448275862069,0.75,0.7672413793103448,0.7586206896551724
Test,0.5384615384615384,0.5384615384615384,0.5641025641025641,0.5897435897435898,0.6666666666666666,0.7435897435897437
