,adaboost-hepatitis_data,decision_tree-hepatitis_data,samba-hepatitis_data,scm-hepatitis_data,random_forest-hepatitis_data,random_scm-hepatitis_data
Train,0.8972355769230769,1.0,0.8527644230769231,0.7554086538461539,0.7475961538461539,0.7524038461538461
Test,0.5317460317460317,0.5357142857142857,0.5714285714285714,0.6031746031746031,0.6587301587301587,0.7420634920634921
