,decision_tree-australian,scm-australian,random_forest-australian,random_scm-australian,samba-australian,adaboost-australian
Train,0.8897485493230174,0.8684719535783365,0.8936170212765957,0.8781431334622823,0.8762088974854932,0.8665377176015474
Test,0.8381502890173411,0.8381502890173411,0.8439306358381503,0.8497109826589595,0.861271676300578,0.8670520231213873
