,decision_tree-australian,random_forest-australian,scm-australian,random_scm-australian,samba-australian,adaboost-australian
Train,0.8873125284047871,0.8890698379033479,0.8698757763975156,0.8803135888501743,0.8695046205120436,0.8664066050598394
Test,0.8361742424242424,0.8413825757575758,0.8438852813852813,0.8517316017316017,0.8557224025974026,0.8673566017316017
