,decision_tree-cylinder_data,samba-cylinder_data,scm-cylinder_data,random_scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,1.0,0.745679012345679,0.7358024691358025,0.7901234567901234,1.0,0.9950617283950617
Test,0.6148148148148148,0.6444444444444445,0.6444444444444445,0.7111111111111111,0.7333333333333333,0.7555555555555555
