,samba-cylinder_data,decision_tree-cylinder_data,scm-cylinder_data,random_scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,0.7051282051282051,1.0,0.7375168690958165,0.7601214574898785,1.0,0.9941520467836258
Test,0.6025641025641025,0.6170715249662617,0.6545209176788125,0.6956815114709851,0.7243589743589743,0.7341430499325237
