,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.9402933400478408,1.0,0.9337781694573839,0.9734042553191489,0.9609719249653783
Test,0.7455357142857143,0.796875,0.8258928571428572,0.8258928571428572,0.8482142857142857,0.8683035714285714
