,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.9505703422053232,0.9391634980988594,1.0,0.9809885931558935,0.9619771863117871
Test,0.7613636363636364,0.8181818181818182,0.8295454545454547,0.8636363636363636,0.875,0.875
