,random_forest-metabolomics_bleuets,scm-metabolomics_bleuets,adaboost-metabolomics_bleuets,decision_tree-metabolomics_bleuets,samba-metabolomics_bleuets,random_scm-metabolomics_bleuets
Train,0.9537037037037037,0.9814814814814814,1.0,1.0,1.0,0.9907407407407407
Test,0.8333333333333334,0.8611111111111112,0.8888888888888888,0.9166666666666667,0.9166666666666667,1.0
