,hps,fit,pred
decision_tree-methyl,11.664944984000613,0.07000345900087268,0.0013398359988059383
adaboost-methyl,348.080465594001,6.8283249019987124,0.03505981300259009
samba-methyl,304.8155386440012,13.054320254999766,0.12731829599943012
random_forest-methyl,46.46142761700321,2.390549360003206,0.02241779799805954
random_scm-methyl,200.0815600509959,0.329050180997001,0.009112054001889192
scm-methyl,4.760792681998282,0.3100014919982641,0.0005122720031067729
decision_tree-rna_iso,9.641888170997845,1.203899433996412,0.00126252699556062
adaboost-rna_iso,247.70900497999537,27.528812481003115,0.13134515400452074
samba-rna_iso,301.3466073029995,5.115124606003519,0.08364907200302696
random_forest-rna_iso,48.961297972004104,4.5082798120056395,0.03648185299971374
random_scm-rna_iso,115.90296160000435,7.382982566996361,0.10999750700284494
scm-rna_iso,4.769386294996366,0.23351764300605282,0.0004990099987480789
decision_tree-rna,9.01690177799901,1.1762679520033998,0.0012496219933382235
adaboost-rna,293.23093397600314,61.30299802799709,0.20429587000398897
samba-rna,383.2636766309952,10.51159506100521,0.1104965079939575
random_forest-rna,46.435156986997754,3.501503842002421,0.028869471003417857
random_scm-rna,206.3941720790026,37.34566622499551,0.36910695400001714
scm-rna,5.122011455001484,0.3062495560006937,0.00048539200361119583
decision_tree-mirna,1.821660214001895,0.17417533000116237,0.00030346400308189914
adaboost-mirna,44.0554561520039,5.754353557000286,0.042647187001421116
samba-mirna,167.57346597799915,14.554550822002057,0.10455400399951031
random_forest-mirna,26.65275458600081,0.17580970600101864,0.0035450719951768406
random_scm-mirna,36.9101635190018,2.6434631869997247,0.0390337630014983
scm-mirna,1.2934342790031224,0.03339077899727272,0.0001803780032787472
decision_tree-clinic,0.38680789100180846,0.00232595900160959,0.0002138659983756952
adaboost-clinic,4.601167884000461,0.20392477099812822,0.020896242996968795
samba-clinic,60.87579188300151,0.22582145900378237,0.08960154100350337
random_forest-clinic,8.469828177003365,0.40853999099635985,0.02988336700218497
random_scm-clinic,11.788332315001753,0.17469099599838955,0.011007456996594556
scm-clinic,0.4425227169995196,0.0015415270027006045,0.00012361499830149114
