,scm-clinic,random_scm-clinic,samba-clinic,decision_tree-clinic,adaboost-clinic,random_forest-clinic,scm-mirna,random_scm-mirna,random_scm-methyl,decision_tree-mirna,decision_tree-rna_iso,scm-methyl,scm-rna_iso,random_forest-mirna,decision_tree-methyl,samba-mirna,scm-rna,decision_tree-rna,adaboost-mirna,samba-methyl,random_forest-methyl,adaboost-methyl,random_forest-rna,random_scm-rna,random_scm-rna_iso,random_forest-rna_iso,samba-rna_iso,adaboost-rna_iso,adaboost-rna,samba-rna
Train,0.6035502958579881,0.5665680473372781,0.9245562130177515,0.9881656804733728,0.9837278106508875,0.8979289940828402,0.9363905325443787,0.9393491124260355,0.9378698224852071,1.0,1.0,0.9630177514792899,0.9644970414201184,0.9940828402366864,1.0,0.9807692307692307,0.9896449704142012,1.0,1.0,0.985207100591716,1.0,1.0,1.0,0.9940828402366864,0.9911242603550295,1.0,0.9837278106508875,1.0,1.0,0.9881656804733728
Test,0.4690265486725664,0.5265486725663717,0.7610619469026548,0.7699115044247787,0.7964601769911505,0.8407079646017699,0.8893805309734514,0.9070796460176991,0.9380530973451328,0.9424778761061947,0.9469026548672567,0.9513274336283186,0.9513274336283186,0.9557522123893806,0.9557522123893806,0.9646017699115044,0.9690265486725663,0.9734513274336283,0.9734513274336283,0.9734513274336283,0.9778761061946902,0.9778761061946902,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522
