,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,decision_tree-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9763313609467456,0.9414893617021276,0.9113055520584161,1.0,0.939097318393554,0.9627659574468085
Test,0.8616071428571428,0.8660714285714286,0.8772321428571428,0.8950892857142857,0.9040178571428572,0.9375
