,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,decision_tree-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9695817490494297,0.9163498098859315,0.9581749049429658,1.0,0.9429657794676806,0.973384030418251
Test,0.875,0.8863636363636365,0.8977272727272727,0.9090909090909091,0.9204545454545455,0.9545454545454546
