,random_scm-Abalone_data,scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7614942528735632,0.7653256704980843,0.783205619412516,0.9980842911877394,0.8275862068965517,0.898786717752235
Test,0.739712918660287,0.7416267942583733,0.7588516746411483,0.7598086124401913,0.7923444976076555,0.7961722488038279
