,random_scm-Abalone_data,scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7612644353102368,0.7650910158543747,0.7834654531219416,0.9980769230769231,0.8276839890389509,0.8988769817968292
Test,0.7395239630188568,0.741443348815402,0.7590749586086651,0.7599357518571157,0.7924114664986593,0.7962941934916704
