,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data,samba-yeast_data
Train,0.6480989608806556,0.6501681702921724,0.8189103167019058,0.8158196702808858,0.8333082520071331,1.0
Test,0.6196416497633537,0.6251352265043948,0.6805442866801893,0.6825388776200135,0.6990196078431372,0.7021298174442191
