,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,samba-yeast_data,random_forest-yeast_data
Train,0.531895777178796,0.5390835579514824,0.8418688230008985,0.8571428571428571,1.0,0.8823000898472596
Test,0.5094339622641509,0.5202156334231806,0.706199460916442,0.7412398921832885,0.7520215633423181,0.7735849056603775
