,decision_tree-hepatitis_data,samba-hepatitis_data,random_scm-hepatitis_data,adaboost-hepatitis_data,random_forest-hepatitis_data,scm-hepatitis_data
Train,0.9224759615384616,0.7650240384615384,0.7530048076923077,1.0,0.8070913461538461,0.7998798076923077
Test,0.5396825396825398,0.5476190476190476,0.5515873015873016,0.5595238095238095,0.6349206349206349,0.6944444444444444
