,decision_tree-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data,scm-hepatitis_data
Train,0.9224137931034483,1.0,0.7844827586206896,0.7672413793103449,0.8189655172413793,0.7931034482758621
Test,0.5384615384615384,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.6410256410256411,0.6923076923076923
