,decision_tree-bupa_data,scm-bupa_data,random_scm-bupa_data,random_forest-bupa_data,adaboost-bupa_data,samba-bupa_data
Train,1.0,0.6434108527131783,0.6821705426356589,1.0,0.8217054263565892,0.813953488372093
Test,0.5977011494252874,0.5977011494252874,0.6091954022988506,0.6666666666666666,0.6896551724137931,0.7126436781609196
