,scm-bupa_data,random_scm-bupa_data,decision_tree-bupa_data,random_forest-bupa_data,adaboost-bupa_data,samba-bupa_data
Train,0.6324074074074073,0.6748148148148148,1.0,1.0,0.8064814814814815,0.7920370370370371
Test,0.5832432432432433,0.5862162162162162,0.6008108108108108,0.6537837837837838,0.6667567567567567,0.6867567567567567
