,scm-yeast_data,random_scm-yeast_data,samba-yeast_data,adaboost-yeast_data,decision_tree-yeast_data,random_forest-yeast_data
Train,0.6437555022159351,0.6610907743357838,0.922287078351555,0.8159351697880377,0.8748577888804447,0.8401851754313361
Train STD,0.006136413735877296,0.01822227095367332,0.1328382139764056,0.06041224100863252,0.1102756125828907,0.02315678845320304
Test,0.6319151453684924,0.6415483434753212,0.6659263015551049,0.668078093306288,0.6708688302907371,0.6722565922920893
Test STD,0.011936526656505332,0.021684214056478582,0.02508729657336111,0.017323714386321642,0.026942868479562343,0.022107145229683694
