,scm-yeast_data,random_scm-yeast_data,samba-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.5366576819407008,0.5811320754716982,0.9011680143755616,0.8853548966756513,0.8490566037735847,0.8837376460017969
Train STD,0.018752266057705122,0.05768557926011619,0.1795057409111279,0.10132779398174517,0.053602004644026285,0.017561404804964927
Test,0.5253369272237198,0.5628032345013477,0.6951482479784366,0.7032345013477089,0.7307277628032345,0.7571428571428571
Test STD,0.020222819926579715,0.045644176519136236,0.08383962609695098,0.01845721651295953,0.022694393379829404,0.014785539786417745
