,random_forest-metabolomics_bleuets,decision_tree-metabolomics_bleuets,adaboost-metabolomics_bleuets,samba-metabolomics_bleuets,random_scm-metabolomics_bleuets,scm-metabolomics_bleuets
Train,1.0,1.0,1.0,1.0,0.9907407407407407,0.9259259259259259
Test,0.5833333333333334,0.6666666666666666,0.75,0.75,1.0,1.0
