,random_forest-metabolomics_bleuets,decision_tree-metabolomics_bleuets,adaboost-metabolomics_bleuets,samba-metabolomics_bleuets,random_scm-metabolomics_bleuets,scm-metabolomics_bleuets
Train,1.0,1.0,1.0,1.0,0.9861111111111112,0.9166666666666666
Test,0.7916666666666666,0.8333333333333334,0.875,0.875,1.0,1.0
