,random_scm-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,decision_tree-ionosphere_data,random_forest-ionosphere_data
Train,0.935361216730038,0.9315589353612167,1.0,0.9505703422053232,1.0,0.9923954372623575
Test,0.875,0.875,0.8863636363636364,0.9090909090909091,0.9204545454545454,0.9204545454545454
